epoch,train_loss,test_acc,lr
1,3.8755,0.1756,0.020000
2,3.1088,0.2788,0.040000
3,2.5528,0.3443,0.060000
4,2.2399,0.3694,0.080000
5,2.0355,0.4032,0.100000
6,1.8315,0.4437,0.100000
7,1.6950,0.4945,0.099973
8,1.5927,0.4806,0.099891
9,1.5039,0.4934,0.099754
10,1.4331,0.5214,0.099564
11,1.3683,0.5265,0.099319
12,1.3030,0.5044,0.099020
13,1.2656,0.5146,0.098668
14,1.2254,0.5623,0.098262
15,1.1859,0.5744,0.097804
16,1.1500,0.5613,0.097294
17,1.1254,0.5549,0.096731
18,1.0889,0.5633,0.096118
19,1.0645,0.5748,0.095455
20,1.0344,0.5836,0.094742
21,1.0067,0.5806,0.093980
22,0.9674,0.5053,0.093170
23,0.9594,0.5664,0.092312
24,0.9400,0.5740,0.091409
25,0.9088,0.5640,0.090460
26,0.8899,0.5789,0.089468
27,0.8789,0.6009,0.088432
28,0.8528,0.5824,0.087354
29,0.8274,0.5741,0.086235
30,0.8161,0.5925,0.085077
31,0.7997,0.5853,0.083880
32,0.7751,0.6085,0.082647
33,0.7553,0.5996,0.081377
34,0.7489,0.5940,0.080074
35,0.7321,0.6040,0.078738
36,0.7072,0.5962,0.077370
37,0.6905,0.6015,0.075973
38,0.6892,0.5978,0.074547
39,0.6601,0.6317,0.073094
40,0.6341,0.5880,0.071616
41,0.6323,0.6047,0.070115
42,0.6143,0.6249,0.068591
43,0.5855,0.6229,0.067048
44,0.5713,0.6178,0.065485
45,0.5564,0.6467,0.063906
46,0.5471,0.5887,0.062312
47,0.5272,0.6002,0.060704
48,0.5037,0.6305,0.059085
49,0.4880,0.6202,0.057456
50,0.4868,0.6226,0.055818
51,0.4523,0.6291,0.054175
52,0.4317,0.6113,0.052527
53,0.4256,0.6323,0.050876
54,0.4019,0.6510,0.049224
55,0.3883,0.6240,0.047573
56,0.3791,0.6446,0.045925
57,0.3582,0.6432,0.044282
58,0.3289,0.6358,0.042644
59,0.3137,0.6373,0.041015
60,0.3081,0.6484,0.039396
61,0.2932,0.6436,0.037788
62,0.2708,0.6491,0.036194
63,0.2642,0.6485,0.034615
64,0.2465,0.6455,0.033052
65,0.2329,0.6496,0.031509
66,0.2178,0.6633,0.029985
67,0.2004,0.6623,0.028484
68,0.1824,0.6663,0.027006
69,0.1633,0.6703,0.025553
70,0.1556,0.6668,0.024127
71,0.1416,0.6643,0.022730
72,0.1356,0.6751,0.021362
73,0.1134,0.6764,0.020026
74,0.1030,0.6743,0.018723
75,0.0921,0.6827,0.017453
76,0.0796,0.6879,0.016220
77,0.0704,0.6851,0.015023
78,0.0617,0.6897,0.013865
79,0.0548,0.6913,0.012746
80,0.0435,0.6897,0.011668
81,0.0393,0.6978,0.010632
82,0.0356,0.6969,0.009640
83,0.0282,0.7005,0.008691
84,0.0242,0.7052,0.007788
85,0.0186,0.7050,0.006930
86,0.0161,0.7106,0.006120
87,0.0139,0.7104,0.005358
88,0.0113,0.7102,0.004645
89,0.0095,0.7125,0.003982
90,0.0080,0.7138,0.003369
91,0.0080,0.7159,0.002806
92,0.0051,0.7143,0.002296
93,0.0065,0.7142,0.001838
94,0.0051,0.7157,0.001432
95,0.0048,0.7147,0.001080
96,0.0047,0.7153,0.000781
97,0.0044,0.7172,0.000536
98,0.0045,0.7176,0.000346
99,0.0040,0.7174,0.000209
100,0.0049,0.7179,0.000127
