epoch,train_loss,test_acc,lr
1,4.6045,0.0201,0.020000
2,4.5858,0.0279,0.040000
3,4.5456,0.0208,0.060000
4,4.4923,0.0227,0.080000
5,4.4678,0.0189,0.100000
6,4.4714,0.0213,0.100000
7,4.4539,0.0206,0.099973
8,4.4297,0.0269,0.099891
9,4.3913,0.0228,0.099754
10,4.3450,0.0281,0.099564
11,4.2747,0.0335,0.099319
12,4.2389,0.0343,0.099020
13,4.2120,0.0292,0.098668
14,4.1958,0.0243,0.098262
15,4.1709,0.0231,0.097804
16,4.1394,0.0457,0.097294
17,4.1111,0.0411,0.096731
18,4.0805,0.0467,0.096118
19,4.0506,0.0344,0.095455
20,4.0094,0.0241,0.094742
21,3.9673,0.0384,0.093980
22,3.9282,0.0430,0.093170
23,3.8920,0.0589,0.092312
24,3.8471,0.0380,0.091409
25,3.7987,0.0282,0.090460
26,3.7477,0.0464,0.089468
27,3.7164,0.0290,0.088432
28,3.6750,0.0512,0.087354
29,3.6272,0.0627,0.086235
30,3.5968,0.0492,0.085077
31,3.5601,0.0456,0.083880
32,3.5258,0.0770,0.082647
33,3.5090,0.0524,0.081377
34,3.4734,0.0344,0.080074
35,3.4417,0.0652,0.078738
36,3.4173,0.0691,0.077370
37,3.3786,0.0583,0.075973
38,3.3512,0.0721,0.074547
39,3.3304,0.0676,0.073094
40,3.2956,0.0845,0.071616
41,3.2679,0.0820,0.070115
42,3.2478,0.0543,0.068591
43,3.2232,0.0828,0.067048
44,3.2009,0.0705,0.065485
45,3.1707,0.1084,0.063906
46,3.1459,0.0966,0.062312
47,3.1190,0.0773,0.060704
48,3.0865,0.1122,0.059085
49,3.0546,0.1033,0.057456
50,3.0405,0.1435,0.055818
51,3.0095,0.0930,0.054175
52,2.9780,0.1514,0.052527
53,2.9564,0.1138,0.050876
54,2.9324,0.0899,0.049224
55,2.9165,0.1421,0.047573
56,2.8910,0.1203,0.045925
57,2.8762,0.1299,0.044282
58,2.8645,0.1116,0.042644
59,2.8275,0.1246,0.041015
60,2.8101,0.1100,0.039396
61,2.7948,0.1414,0.037788
62,2.7753,0.1053,0.036194
63,2.7536,0.1454,0.034615
64,2.7369,0.2051,0.033052
65,2.7109,0.1033,0.031509
66,2.6989,0.1544,0.029985
67,2.6749,0.1625,0.028484
68,2.6506,0.1178,0.027006
69,2.6260,0.1333,0.025553
70,2.6096,0.1897,0.024127
71,2.5925,0.1591,0.022730
72,2.5726,0.2239,0.021362
73,2.5562,0.2111,0.020026
74,2.5309,0.2095,0.018723
75,2.5093,0.2330,0.017453
76,2.4866,0.2214,0.016220
77,2.4679,0.1936,0.015023
78,2.4511,0.2717,0.013865
79,2.4280,0.2037,0.012746
80,2.4023,0.2421,0.011668
81,2.3912,0.2521,0.010632
82,2.3745,0.2716,0.009640
83,2.3505,0.2507,0.008691
84,2.3286,0.2825,0.007788
85,2.3141,0.2840,0.006930
86,2.2956,0.2707,0.006120
87,2.2813,0.2677,0.005358
88,2.2657,0.3014,0.004645
89,2.2515,0.3106,0.003982
90,2.2316,0.3299,0.003369
91,2.2209,0.3224,0.002806
92,2.2109,0.3158,0.002296
93,2.1960,0.3287,0.001838
94,2.1860,0.3356,0.001432
95,2.1793,0.3393,0.001080
96,2.1726,0.3325,0.000781
97,2.1704,0.3430,0.000536
98,2.1613,0.3421,0.000346
99,2.1618,0.3419,0.000209
100,2.1631,0.3417,0.000127
