epoch,train_loss,test_acc
1,1.8288,0.5389
2,1.2151,0.6557
3,0.9742,0.7196
4,0.8439,0.7523
5,0.7537,0.7392
6,0.6896,0.7722
7,0.6420,0.7899
8,0.6010,0.8029
9,0.5665,0.8025
10,0.5354,0.8042
11,0.5178,0.8195
12,0.4960,0.8038
13,0.4721,0.8287
14,0.4621,0.8192
15,0.4446,0.8341
