epoch,train_loss,test_acc
1,1.8049,0.4304
2,1.2898,0.6177
3,1.0449,0.6912
4,0.8813,0.7307
5,0.7728,0.7587
6,0.6994,0.7682
7,0.6524,0.7966
8,0.6019,0.8018
9,0.5686,0.7988
10,0.5400,0.8114
11,0.5165,0.8212
12,0.4911,0.8094
13,0.4728,0.8275
14,0.4582,0.8160
15,0.4477,0.8267
