epoch,train_loss,test_acc,lr
1,3.9206,0.1590,0.020000
2,3.2983,0.2256,0.040000
3,2.7781,0.3264,0.060000
4,2.3945,0.3861,0.080000
5,2.1503,0.3969,0.100000
6,1.9050,0.3839,0.100000
7,1.7597,0.4609,0.099919
8,1.6392,0.4818,0.099674
9,1.5514,0.4786,0.099268
10,1.4801,0.5136,0.098702
11,1.4115,0.5083,0.097977
12,1.3628,0.5285,0.097095
13,1.3187,0.5577,0.096060
14,1.2736,0.5283,0.094875
15,1.2318,0.5352,0.093544
16,1.1968,0.4812,0.092071
17,1.1441,0.5218,0.090460
18,1.1254,0.5261,0.088718
19,1.0772,0.4943,0.086850
20,1.0521,0.5689,0.084862
21,1.0085,0.5392,0.082760
22,0.9798,0.5177,0.080552
23,0.9333,0.5765,0.078244
24,0.9175,0.5830,0.075844
25,0.8681,0.5776,0.073360
26,0.8336,0.5991,0.070800
27,0.8001,0.5961,0.068172
28,0.7688,0.5751,0.065485
29,0.7248,0.5831,0.062748
30,0.6873,0.5996,0.059970
31,0.6563,0.5853,0.057159
32,0.6120,0.5834,0.054324
33,0.5665,0.6140,0.051476
34,0.5230,0.5845,0.048624
35,0.4811,0.6224,0.045776
36,0.4327,0.6126,0.042941
37,0.3893,0.6315,0.040130
38,0.3501,0.6489,0.037352
39,0.3013,0.6524,0.034615
40,0.2611,0.6291,0.031928
41,0.2323,0.6566,0.029300
42,0.1927,0.6633,0.026740
43,0.1590,0.6691,0.024256
44,0.1317,0.6809,0.021856
45,0.1059,0.6851,0.019548
46,0.0867,0.6802,0.017340
47,0.0728,0.6885,0.015238
48,0.0607,0.6885,0.013250
49,0.0530,0.6978,0.011382
50,0.0448,0.6993,0.009640
51,0.0406,0.7029,0.008029
52,0.0379,0.6999,0.006556
53,0.0344,0.7042,0.005225
54,0.0314,0.7048,0.004040
55,0.0294,0.7050,0.003005
56,0.0305,0.7054,0.002123
57,0.0288,0.7059,0.001398
58,0.0281,0.7068,0.000832
59,0.0276,0.7068,0.000426
60,0.0281,0.7060,0.000181
