epoch,train_loss,test_acc,lr
1,5.8404,0.0256,0.020000
2,4.6763,0.0559,0.040000
3,4.0377,0.1354,0.060000
4,3.6091,0.2048,0.080000
5,3.1625,0.2581,0.100000
6,2.7937,0.3199,0.100000
7,2.4623,0.3723,0.099973
8,2.1572,0.3847,0.099891
9,1.9318,0.4407,0.099754
10,1.7582,0.4731,0.099564
11,1.6134,0.5005,0.099319
12,1.4927,0.5325,0.099020
13,1.4055,0.5479,0.098668
14,1.3338,0.5357,0.098262
15,1.2614,0.5413,0.097804
16,1.2111,0.5619,0.097294
17,1.1495,0.5697,0.096731
18,1.1162,0.5460,0.096118
19,1.0814,0.5783,0.095455
20,1.0320,0.5746,0.094742
21,0.9998,0.5661,0.093980
22,0.9568,0.5834,0.093170
23,0.9211,0.5912,0.092312
24,0.9013,0.5859,0.091409
25,0.8589,0.6062,0.090460
26,0.8383,0.6038,0.089468
27,0.8174,0.5972,0.088432
28,0.8025,0.6157,0.087354
29,0.7567,0.6163,0.086235
30,0.7482,0.6158,0.085077
31,0.7183,0.6136,0.083880
32,0.6955,0.6035,0.082647
33,0.6811,0.6006,0.081377
34,0.6619,0.6013,0.080074
35,0.6299,0.6066,0.078738
36,0.6222,0.6035,0.077370
37,0.6046,0.6355,0.075973
38,0.5650,0.6283,0.074547
39,0.5542,0.6385,0.073094
40,0.5343,0.6147,0.071616
41,0.5195,0.6247,0.070115
42,0.5056,0.6289,0.068591
43,0.4792,0.6073,0.067048
44,0.4736,0.6390,0.065485
45,0.4471,0.6502,0.063906
46,0.4379,0.6437,0.062312
47,0.4126,0.6550,0.060704
48,0.3881,0.6509,0.059085
49,0.3801,0.6556,0.057456
50,0.3548,0.6353,0.055818
51,0.3430,0.6541,0.054175
52,0.3209,0.6507,0.052527
53,0.3031,0.6634,0.050876
54,0.2785,0.6609,0.049224
55,0.2700,0.6576,0.047573
56,0.2533,0.6595,0.045925
57,0.2276,0.6701,0.044282
58,0.2231,0.6608,0.042644
59,0.1989,0.6719,0.041015
60,0.1820,0.6738,0.039396
61,0.1795,0.6738,0.037788
62,0.1598,0.6783,0.036194
63,0.1415,0.6894,0.034615
64,0.1289,0.6919,0.033052
65,0.1071,0.6977,0.031509
66,0.0954,0.6946,0.029985
67,0.0896,0.7013,0.028484
68,0.0764,0.7029,0.027006
69,0.0706,0.7102,0.025553
70,0.0566,0.7105,0.024127
71,0.0475,0.7198,0.022730
72,0.0366,0.7173,0.021362
73,0.0325,0.7245,0.020026
74,0.0281,0.7227,0.018723
75,0.0264,0.7228,0.017453
76,0.0216,0.7293,0.016220
77,0.0193,0.7279,0.015023
78,0.0183,0.7364,0.013865
79,0.0163,0.7338,0.012746
80,0.0144,0.7376,0.011668
81,0.0134,0.7390,0.010632
82,0.0122,0.7366,0.009640
83,0.0116,0.7379,0.008691
84,0.0107,0.7397,0.007788
85,0.0101,0.7425,0.006930
86,0.0097,0.7409,0.006120
87,0.0096,0.7425,0.005358
88,0.0097,0.7420,0.004645
89,0.0090,0.7426,0.003982
90,0.0090,0.7437,0.003369
91,0.0093,0.7427,0.002806
92,0.0085,0.7442,0.002296
93,0.0085,0.7432,0.001838
94,0.0083,0.7442,0.001432
95,0.0082,0.7446,0.001080
96,0.0084,0.7452,0.000781
97,0.0083,0.7445,0.000536
98,0.0082,0.7456,0.000346
99,0.0082,0.7434,0.000209
100,0.0084,0.7454,0.000127
