epoch,train_loss,test_acc,lr
1,3.9102,0.1545,0.020000
2,3.2481,0.2243,0.040000
3,2.7783,0.2738,0.060000
4,2.4508,0.3735,0.080000
5,2.2099,0.3572,0.100000
6,2.0015,0.4269,0.100000
7,1.8375,0.4585,0.099919
8,1.7343,0.4673,0.099674
9,1.6416,0.4852,0.099268
10,1.5670,0.4331,0.098702
11,1.5213,0.4854,0.097977
12,1.4659,0.4396,0.097095
13,1.4118,0.4813,0.096060
14,1.3738,0.4497,0.094875
15,1.3369,0.4070,0.093544
16,1.2988,0.5345,0.092071
17,1.2661,0.4947,0.090460
18,1.2271,0.4018,0.088718
19,1.2066,0.5019,0.086850
20,1.1622,0.5083,0.084862
21,1.1377,0.5324,0.082760
22,1.1052,0.5108,0.080552
23,1.0726,0.5172,0.078244
24,1.0416,0.5312,0.075844
25,1.0088,0.5116,0.073360
26,0.9827,0.5329,0.070800
27,0.9541,0.5124,0.068172
28,0.9127,0.5291,0.065485
29,0.8742,0.5267,0.062748
30,0.8490,0.5554,0.059970
31,0.8118,0.5727,0.057159
32,0.7811,0.5739,0.054324
33,0.7365,0.5886,0.051476
34,0.7184,0.5911,0.048624
35,0.6649,0.5181,0.045776
36,0.6410,0.5845,0.042941
37,0.5956,0.5977,0.040130
38,0.5419,0.5903,0.037352
39,0.5101,0.5858,0.034615
40,0.4804,0.5841,0.031928
41,0.4421,0.6238,0.029300
42,0.3870,0.6112,0.026740
43,0.3483,0.6196,0.024256
44,0.3068,0.6213,0.021856
45,0.2613,0.6342,0.019548
46,0.2260,0.6479,0.017340
47,0.1857,0.6431,0.015238
48,0.1596,0.6520,0.013250
49,0.1340,0.6516,0.011382
50,0.1123,0.6624,0.009640
51,0.0880,0.6622,0.008029
52,0.0695,0.6669,0.006556
53,0.0575,0.6727,0.005225
54,0.0440,0.6741,0.004040
55,0.0350,0.6810,0.003005
56,0.0325,0.6797,0.002123
57,0.0267,0.6812,0.001398
58,0.0222,0.6813,0.000832
59,0.0238,0.6821,0.000426
60,0.0189,0.6825,0.000181
