epoch,train_loss,test_acc,lr
1,7.4505,0.0239,0.020000
2,4.6818,0.0598,0.040000
3,4.1403,0.0771,0.060000
4,3.8130,0.1479,0.080000
5,3.4934,0.1889,0.100000
6,3.1016,0.2677,0.100000
7,2.8037,0.2895,0.099973
8,2.5141,0.3640,0.099891
9,2.2636,0.3497,0.099754
10,2.0568,0.4124,0.099564
11,1.9038,0.4590,0.099319
12,1.7578,0.4777,0.099020
13,1.6531,0.4723,0.098668
14,1.5704,0.5134,0.098262
15,1.4921,0.5176,0.097804
16,1.4304,0.5245,0.097294
17,1.3689,0.5238,0.096731
18,1.3186,0.5157,0.096118
19,1.2815,0.5258,0.095455
20,1.2451,0.5371,0.094742
21,1.1897,0.5418,0.093980
22,1.1657,0.5612,0.093170
23,1.1399,0.5433,0.092312
24,1.0953,0.5753,0.091409
25,1.0680,0.5692,0.090460
26,1.0408,0.5809,0.089468
27,1.0205,0.6008,0.088432
28,0.9846,0.5551,0.087354
29,0.9520,0.5776,0.086235
30,0.9320,0.5767,0.085077
31,0.9187,0.5811,0.083880
32,0.8802,0.5900,0.082647
33,0.8717,0.5902,0.081377
34,0.8470,0.5836,0.080074
35,0.8048,0.5756,0.078738
36,0.7906,0.6037,0.077370
37,0.7650,0.5921,0.075973
38,0.7400,0.5987,0.074547
39,0.7349,0.6159,0.073094
40,0.6989,0.6333,0.071616
41,0.6784,0.5970,0.070115
42,0.6620,0.5960,0.068591
43,0.6225,0.6107,0.067048
44,0.6200,0.6049,0.065485
45,0.5838,0.5983,0.063906
46,0.5877,0.6279,0.062312
47,0.5548,0.6125,0.060704
48,0.5291,0.6334,0.059085
49,0.5069,0.6044,0.057456
50,0.4875,0.6297,0.055818
51,0.4557,0.6214,0.054175
52,0.4502,0.6316,0.052527
53,0.4231,0.6193,0.050876
54,0.4059,0.6407,0.049224
55,0.3733,0.6390,0.047573
56,0.3439,0.6339,0.045925
57,0.3369,0.6503,0.044282
58,0.3159,0.6528,0.042644
59,0.2815,0.6472,0.041015
60,0.2585,0.6617,0.039396
61,0.2436,0.6490,0.037788
62,0.2262,0.6566,0.036194
63,0.2011,0.6663,0.034615
64,0.1873,0.6697,0.033052
65,0.1672,0.6658,0.031509
66,0.1582,0.6785,0.029985
67,0.1365,0.6784,0.028484
68,0.1154,0.6908,0.027006
69,0.0929,0.6893,0.025553
70,0.0816,0.6905,0.024127
71,0.0706,0.6914,0.022730
72,0.0590,0.7003,0.021362
73,0.0491,0.7074,0.020026
74,0.0402,0.7035,0.018723
75,0.0353,0.7121,0.017453
76,0.0305,0.7119,0.016220
77,0.0252,0.7164,0.015023
78,0.0235,0.7201,0.013865
79,0.0209,0.7205,0.012746
80,0.0199,0.7180,0.011668
81,0.0180,0.7211,0.010632
82,0.0173,0.7229,0.009640
83,0.0163,0.7234,0.008691
84,0.0148,0.7283,0.007788
85,0.0138,0.7259,0.006930
86,0.0136,0.7266,0.006120
87,0.0129,0.7275,0.005358
88,0.0124,0.7267,0.004645
89,0.0118,0.7279,0.003982
90,0.0117,0.7272,0.003369
91,0.0114,0.7286,0.002806
92,0.0116,0.7276,0.002296
93,0.0109,0.7276,0.001838
94,0.0108,0.7278,0.001432
95,0.0109,0.7274,0.001080
96,0.0106,0.7283,0.000781
97,0.0110,0.7292,0.000536
98,0.0105,0.7278,0.000346
99,0.0104,0.7263,0.000209
100,0.0106,0.7284,0.000127
