epoch,train_loss,test_acc,lr
1,4.6044,0.0162,0.020000
2,4.5876,0.0111,0.040000
3,4.5458,0.0122,0.060000
4,4.5026,0.0348,0.080000
5,4.4160,0.0317,0.100000
6,4.3276,0.0405,0.100000
7,4.2503,0.0421,0.099973
8,4.2084,0.0459,0.099891
9,4.1802,0.0483,0.099754
10,4.1525,0.0504,0.099564
11,4.1226,0.0503,0.099319
12,4.0971,0.0520,0.099020
13,4.0768,0.0549,0.098668
14,4.0603,0.0585,0.098262
15,4.0356,0.0562,0.097804
16,4.0102,0.0588,0.097294
17,3.9675,0.0746,0.096731
18,3.9327,0.0642,0.096118
19,3.9011,0.0611,0.095455
20,3.8654,0.0701,0.094742
21,3.8246,0.0835,0.093980
22,3.7835,0.0806,0.093170
23,3.7316,0.0689,0.092312
24,3.6975,0.0949,0.091409
25,3.6526,0.1143,0.090460
26,3.5972,0.0975,0.089468
27,3.5585,0.1241,0.088432
28,3.4982,0.1234,0.087354
29,3.4507,0.1325,0.086235
30,3.3886,0.1430,0.085077
31,3.3418,0.1231,0.083880
32,3.2882,0.1366,0.082647
33,3.2404,0.1596,0.081377
34,3.1978,0.1666,0.080074
35,3.1559,0.1522,0.078738
36,3.1063,0.1398,0.077370
37,3.0754,0.1912,0.075973
38,3.0331,0.1978,0.074547
39,3.0061,0.1495,0.073094
40,2.9762,0.2107,0.071616
41,2.9356,0.1771,0.070115
42,2.9033,0.2190,0.068591
43,2.8844,0.2252,0.067048
44,2.8368,0.2091,0.065485
45,2.8110,0.2376,0.063906
46,2.7937,0.2487,0.062312
47,2.7665,0.2179,0.060704
48,2.7350,0.2695,0.059085
49,2.7007,0.2850,0.057456
50,2.6740,0.2550,0.055818
51,2.6620,0.2497,0.054175
52,2.6269,0.2124,0.052527
53,2.6111,0.2362,0.050876
54,2.5721,0.2887,0.049224
55,2.5512,0.2799,0.047573
56,2.5170,0.2737,0.045925
57,2.5093,0.2625,0.044282
58,2.4640,0.3285,0.042644
59,2.4532,0.2908,0.041015
60,2.4334,0.2755,0.039396
61,2.4056,0.2929,0.037788
62,2.3797,0.3289,0.036194
63,2.3582,0.3085,0.034615
64,2.3288,0.3138,0.033052
65,2.3127,0.3362,0.031509
66,2.2876,0.3604,0.029985
67,2.2586,0.3456,0.028484
68,2.2381,0.3329,0.027006
69,2.2117,0.3327,0.025553
70,2.1916,0.3913,0.024127
71,2.1708,0.3458,0.022730
72,2.1555,0.3559,0.021362
73,2.1213,0.3755,0.020026
74,2.0959,0.3816,0.018723
75,2.0706,0.3983,0.017453
76,2.0564,0.4044,0.016220
77,2.0211,0.3856,0.015023
78,2.0005,0.3954,0.013865
79,1.9798,0.4159,0.012746
80,1.9456,0.4012,0.011668
81,1.9262,0.4143,0.010632
82,1.9020,0.4320,0.009640
83,1.8849,0.4304,0.008691
84,1.8632,0.4114,0.007788
85,1.8344,0.4370,0.006930
86,1.8061,0.4542,0.006120
87,1.7887,0.4617,0.005358
88,1.7704,0.4581,0.004645
89,1.7488,0.4591,0.003982
90,1.7292,0.4564,0.003369
91,1.7115,0.4675,0.002806
92,1.7017,0.4775,0.002296
93,1.6792,0.4777,0.001838
94,1.6698,0.4796,0.001432
95,1.6550,0.4870,0.001080
96,1.6501,0.4889,0.000781
97,1.6406,0.4859,0.000536
98,1.6324,0.4876,0.000346
99,1.6345,0.4871,0.000209
100,1.6309,0.4887,0.000127
