epoch,train_loss,test_acc,lr
1,4.4263,0.0341,0.020000
2,4.1056,0.0640,0.040000
3,3.8643,0.1026,0.060000
4,3.6816,0.1232,0.080000
5,3.4980,0.1454,0.100000
6,3.2461,0.1741,0.100000
7,3.0035,0.2120,0.099973
8,2.7945,0.2080,0.099891
9,2.6290,0.2468,0.099754
10,2.4823,0.2700,0.099564
11,2.3507,0.2943,0.099319
12,2.2536,0.2905,0.099020
13,2.1770,0.3031,0.098668
14,2.1084,0.3202,0.098262
15,2.0362,0.2886,0.097804
16,1.9779,0.3088,0.097294
17,1.9246,0.3368,0.096731
18,1.8735,0.3410,0.096118
19,1.8407,0.4112,0.095455
20,1.7805,0.4044,0.094742
21,1.7622,0.2511,0.093980
22,1.7102,0.3515,0.093170
23,1.6746,0.3985,0.092312
24,1.6599,0.4050,0.091409
25,1.6332,0.4396,0.090460
26,1.5967,0.4565,0.089468
27,1.5721,0.3523,0.088432
28,1.5510,0.4663,0.087354
29,1.5238,0.3888,0.086235
30,1.4856,0.3214,0.085077
31,1.4699,0.4536,0.083880
32,1.4380,0.4077,0.082647
33,1.4234,0.4004,0.081377
34,1.4052,0.4356,0.080074
35,1.3764,0.4202,0.078738
36,1.3623,0.4870,0.077370
37,1.3314,0.4490,0.075973
38,1.3164,0.4249,0.074547
39,1.2921,0.4966,0.073094
40,1.2719,0.4837,0.071616
41,1.2472,0.5263,0.070115
42,1.2334,0.5004,0.068591
43,1.2152,0.5036,0.067048
44,1.1878,0.4843,0.065485
45,1.1538,0.5103,0.063906
46,1.1499,0.5567,0.062312
47,1.1172,0.5173,0.060704
48,1.1042,0.5369,0.059085
49,1.0835,0.4738,0.057456
50,1.0584,0.5066,0.055818
51,1.0425,0.5259,0.054175
52,1.0076,0.5696,0.052527
53,0.9937,0.5452,0.050876
54,0.9749,0.5558,0.049224
55,0.9426,0.5640,0.047573
56,0.9207,0.5653,0.045925
57,0.9032,0.4644,0.044282
58,0.8811,0.5915,0.042644
59,0.8517,0.5402,0.041015
60,0.8243,0.5723,0.039396
61,0.7931,0.5892,0.037788
62,0.7763,0.6031,0.036194
63,0.7373,0.5821,0.034615
64,0.7302,0.6048,0.033052
65,0.6977,0.6064,0.031509
66,0.6711,0.5834,0.029985
67,0.6360,0.6095,0.028484
68,0.6157,0.6148,0.027006
69,0.5899,0.6317,0.025553
70,0.5451,0.6466,0.024127
71,0.5236,0.6192,0.022730
72,0.5034,0.6352,0.021362
73,0.4643,0.6372,0.020026
74,0.4281,0.6469,0.018723
75,0.4035,0.6461,0.017453
76,0.3737,0.6466,0.016220
77,0.3402,0.6590,0.015023
78,0.3169,0.6729,0.013865
79,0.2836,0.6665,0.012746
80,0.2499,0.6780,0.011668
81,0.2311,0.6709,0.010632
82,0.2060,0.6829,0.009640
83,0.1875,0.6749,0.008691
84,0.1632,0.6869,0.007788
85,0.1398,0.6942,0.006930
86,0.1254,0.6977,0.006120
87,0.1104,0.7001,0.005358
88,0.0971,0.7013,0.004645
89,0.0849,0.7066,0.003982
90,0.0743,0.7066,0.003369
91,0.0665,0.7093,0.002806
92,0.0604,0.7086,0.002296
93,0.0580,0.7091,0.001838
94,0.0528,0.7092,0.001432
95,0.0500,0.7113,0.001080
96,0.0483,0.7116,0.000781
97,0.0460,0.7122,0.000536
98,0.0458,0.7135,0.000346
99,0.0439,0.7122,0.000209
100,0.0434,0.7125,0.000127
