epoch,train_loss,test_acc
1,1.2959,0.6378
2,0.8971,0.6548
3,0.7542,0.7163
4,0.6747,0.7579
5,0.6158,0.7482
6,0.5727,0.7907
7,0.5380,0.8006
8,0.5081,0.8186
9,0.4808,0.8239
10,0.4574,0.7952
11,0.4443,0.8223
12,0.4215,0.8093
13,0.4045,0.8323
14,0.3894,0.8279
15,0.3812,0.8448
